S 18d0cc,1 miss 
L 4c00081,1 miss eviction 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 40304de,1 miss eviction 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b0a0,32 hit 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b0b8,4 hit 
L 10b0b6,4 hit 
S 40304e1,4 miss eviction 
S 40304df,4 miss eviction 
S 4c316c8,8 hit 
L 10b0bc,1 hit 
L 10b0bd,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 hit 
L 4c00081,1 hit 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 40304e5,1 hit 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b0a0,32 hit 
L 10b0c0,32 miss eviction 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b0be,8 hit 
L 10b0be,8 hit 
S 40304e6,8 hit 
S 40304e6,8 hit 
S 4c316c8,8 hit 
L 10b0c6,1 miss eviction 
L 10b0c7,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 hit 
L 4c00081,1 hit 
L 4c00084,1 hit 
L 4c00088,1 hit 
L 4c00080,1 hit 
L 4c00085,1 hit 
L 4c00089,1 hit 
L 4c00085,1 hit 
L 4c00081,1 hit 
L 4c00086,1 hit 
L 4c00081,1 hit 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 40304f0,8 hit 
S 40304ee,8 hit 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b0c8,32 miss eviction 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b0c9,2 miss eviction 
L 10b0c8,2 hit 
S 40304f9,2 hit 
S 40304f8,2 hit 
S 4c316c8,8 hit 
L 10b0cb,1 hit 
L 4c316a0,4 hit 
L 4c31728,8 hit 
L 4c334c4,4 miss eviction 
S 4c334c4,4 hit 
S 4c334c8,8 hit 
L 4a44518,4 hit 
M 4c334c0,4 hit hit 
L 4a44528,8 hit 
L 4a44528,8 hit 
L 10d148,4 miss eviction 
S 14d1c4,4 hit 
L 10d14c,4 hit 
S 14d244,4 hit 
L 10d150,4 hit 
S 14d2c4,4 miss eviction 
L 10d154,4 hit 
S 14d344,4 miss eviction 
L 10d158,4 hit 
S 14d3c4,4 hit 
L 10d15c,4 hit 
S 14d444,4 miss eviction 
S 14d144,4 miss eviction 
L 10cf80,8 miss eviction 
L 4a44528,8 hit 
L 4c2ff48,8 miss eviction 
L 4c31788,8 miss eviction 
L 4a44528,8 hit 
L 4c2fe70,8 miss eviction 
L 4a44480,4 miss eviction 
L 4c31760,4 hit 
L 4c316a0,4 hit 
L 4c30040,8 miss eviction 
L 10b0d0,32 miss eviction 
L 4c36170,4 hit 
L 4c2ff68,8 miss eviction 
L 4c31728,8 hit 
L 4a44510,8 hit 
L 4c334c8,8 miss eviction 
L 4a44518,4 hit 
M 4c334c0,4 hit hit 
L 4c31728,8 hit 
S 4c334c8,8 hit 
M 4c334c4,4 hit hit 
L 4c31778,8 miss eviction 
L 4c324d8,8 miss eviction 
L 4c316c8,8 miss eviction 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 miss eviction 
L 10b0d3,8 miss eviction 
L 10b0d0,8 hit 
