S 18d0ac,1 miss 
L 10b110,32 miss eviction 
L 4c36170,4 miss eviction 
L 4c2ff68,8 miss eviction 
L 4c31728,8 miss eviction 
L 4a44510,8 miss eviction 
L 4c334c8,8 hit 
L 4a44518,4 hit 
M 4c334c0,4 hit hit 
L 4c31728,8 hit 
S 4c334c8,8 hit 
M 4c334c4,4 hit hit 
L 4c31778,8 miss eviction 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b113,8 miss eviction 
L 10b110,8 hit 
S 40304a3,8 miss eviction 
S 40304a0,8 hit 
S 4c316c8,8 hit 
L 10b11b,1 hit 
L 4c35ff8,8 hit 
L 4c36000,8 hit 
L 4c36358,8 miss eviction 
L 10b11c,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 miss eviction 
L 4c00080,1 miss eviction 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 40304ab,1 hit 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b11d,32 hit 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b11f,4 hit 
L 10b11d,4 hit 
S 40304ae,4 hit 
S 40304ac,4 hit 
S 4c316c8,8 hit 
L 10b123,1 miss eviction 
L 10b124,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 hit 
L 4c00088,1 hit 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 40304b2,1 hit 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b120,32 hit 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b125,8 hit 
L 10b125,8 hit 
S 40304b3,8 hit 
S 40304b3,8 hit 
S 4c316c8,8 hit 
L 10b12d,1 hit 
L 10b12e,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 hit 
L 4c00084,1 hit 
L 4c00083,1 hit 
L 4c00084,1 hit 
L 4c00080,1 hit 
L 4c00083,1 hit 
